n_notched,h1_bp,l1_bp,l1_h1_ratio,l1_frac_remaining
0,1.4675031452091707e-43,2.7119844268098807e-43,1.84803,1.0
1,1.4662146959370913e-43,2.6245372651238728e-43,1.79001,0.96776
3,5.254560599512918e-44,2.6212708519710885e-43,4.98856,0.96655
5,5.22753426883851e-44,9.385532436661859e-44,1.7954,0.34608
10,1.8424088177513248e-44,5.671264745845686e-44,3.07818,0.20912
20,1.675775052855073e-44,5.384175121541062e-44,3.21295,0.19853
