band,trigger_abs_corr,excess_over_off,z_score,classification
120-160,0.999869,-8.189999999996811e-05,-0.8189999999996811,BELOW_OFFSOURCE
160-210,0.9994455,-0.0003334999999999866,-3.334999999999866,BELOW_OFFSOURCE
20-210,0.9958729,-0.0040821000000000884,-40.82100000000088,BELOW_OFFSOURCE
20-40,0.9998171,2.089999999999037e-05,0.2089999999999037,TRIGGER_SPECIFIC
40-80,0.9996503,-0.0002254999999999896,-2.254999999999896,BELOW_OFFSOURCE
80-120,0.9996181,-0.0002419000000000171,-2.419000000000171,BELOW_OFFSOURCE
