band_hz,bins,mf_snr_gr,mf_snr_phase,mf_snr_amp,mf_snr_full,delta_lnL_phase,delta_lnL_amp,delta_lnL_full,overlap_gr_phase,overlap_gr_amp,overlap_gr_full,amplitude_ratio,da_min,da_max,da_mean,dp_min_rad,dp_max_rad,dp_mean_rad
20-100,321,16.30454773415917,44.119740466027714,17.747406699679118,45.542646654717934,4.957662895321846e-06,8.242204785346985e-08,4.559056833386421e-06,0.35379267509372636,0.9996931315201811,0.3423193597144784,0.8910908372805503,-0.17363545234800182,-0.06507728263995183,-0.1255854794661705,0.5079680508764054,10.647445267367672,2.269715730074312
100-200,401,4.854834362702236,3.311978002675678,6.271172008985538,4.747441548404536,1.0582152754068375e-07,-6.868503987789154e-09,7.566995918750763e-08,0.9506103102492091,0.9995538604949137,0.9492709989418553,0.7884153701340892,-0.255331133766737,-0.17363545234800182,-0.21709463798268497,0.14730354588869585,0.5079680508764054,0.2700887273251738
200-400,801,10.349101734475925,19.303364052383337,1.693005061782556,7.176882774907132,4.907487891614437e-07,-5.038455128669739e-07,-2.9831426218152046e-07,0.9939836527963811,0.9936744308019589,0.9878239101947575,0.6678927173791193,-0.5776079946272231,-0.255331133766737,-0.3493167262305322,0.05975886302017775,0.2002166676958125,0.10272392339194568
400-800,1601,123.61996991504654,148.6199276293986,142.30959598463582,166.65872618395835,-8.0317840911448e-07,2.465298166498542e-06,2.2076128516346216e-06,0.9686133218555467,0.9950458526944234,0.9637942689834856,0.3195064193448941,-0.6919442414998265,-0.5776079946272231,-0.6840313309632362,0.08536267738789252,0.36752699054520643,0.19724450456737613
