det,n_windows,trig_bp,off_mean,off_std,off_median,off_mad,quantile,z_score,exceed_frac,stationarity,trend,slope
H1,402,2.0233621412338908e-39,4.52463255581968e-39,2.0000936897533014e-39,4.2038984550110085e-39,1.2275964365755703e-39,0.07711,-1.251,0.92289,CONSISTENT_WITH_BACKGROUND,NO_SIGNIFICANT_TREND,0.0
L1,420,5.3954068427399595e-39,3.5871521514583735e-39,2.246511841368387e-39,2.9588870005880446e-39,1.1052798773231425e-39,0.85,0.805,0.15,MILD_OUTLIER_80,NO_SIGNIFICANT_TREND,-0.0
