source_path,source_archive,target_path,target_basename,classification,resolution_details,target_in_release
fti/S250207bg_no_cal/fti_dchi2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchi5lNS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi5lNS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchi0.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi0/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchi1.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi1/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchi6l.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi6l/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchiMinus2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchiMinus2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_no_cal/fti_dchi4NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_no_cal/fti_dchi4NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi6NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi6NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi7NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi7NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi6l.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi6l/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi5lNS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi5lNS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi3NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi3NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi1.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi1/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchiMinus2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchiMinus2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi0.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi0-1/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_correct_cal/fti_dchi4NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_correct_cal/fti_dchi4NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_wide_cal/fti_dchi4NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_wide_cal/fti_dchi4NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_wide_cal/fti_dchi6l.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_wide_cal/fti_dchi6l/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_wide_cal/fti_dchi2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_wide_cal/fti_dchi2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_wide_cal/fti_dchi0.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_wide_cal/fti_dchi0-1/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_wide_cal/fti_dchi5lNS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_wide_cal/fti_dchi5lNS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
