det,offset_s,bandpower
L1,640.0,4.544292985540577e-39
L1,644.0,2.6906544949253175e-39
L1,648.0,4.4864117556358716e-39
L1,652.0,2.6075903675081237e-39
L1,656.0,3.8311266652429645e-39
L1,660.0,2.0249197594671375e-39
L1,664.0,2.8253204827571022e-39
L1,668.0,6.360914231108223e-39
L1,672.0,7.209401271117479e-39
L1,676.0,3.547798770517372e-39
L1,680.0,2.7241473537641944e-39
L1,684.0,2.329174343558377e-39
L1,688.0,1.7093948388245147e-39
L1,692.0,7.104665997042656e-39
L1,696.0,2.5661255868419196e-39
L1,700.0,2.2777703119857658e-39
L1,704.0,2.319609501081761e-39
L1,708.0,8.317285815945657e-39
L1,712.0,4.7641852256208205e-39
L1,716.0,1.5483541716386064e-39
L1,720.0,1.5192106113166094e-39
L1,724.0,3.914715539043248e-39
L1,728.0,1.5060235493862713e-39
L1,732.0,4.532448358913372e-39
L1,736.0,6.949768903746867e-39
L1,740.0,2.8448131792623608e-39
L1,744.0,1.9976197209617757e-39
L1,748.0,2.3920571946545863e-39
L1,752.0,2.8768932086020242e-39
L1,756.0,2.786284384450044e-39
L1,760.0,2.1151696844037276e-39
L1,764.0,2.837532229191088e-39
L1,768.0,4.2234784610084875e-39
L1,772.0,1.3492698651395744e-39
L1,776.0,2.4287450947511157e-39
L1,780.0,1.3006982323733432e-39
L1,784.0,3.078043715264329e-39
L1,788.0,3.665211646388331e-39
L1,792.0,9.782907412139118e-39
L1,796.0,1.6890896164100446e-39
L1,800.0,1.6177818203529067e-39
L1,804.0,2.0168180446398994e-39
L1,808.0,1.9888654650853144e-39
L1,812.0,1.7559183146595858e-39
L1,816.0,1.9544182456867202e-39
L1,820.0,1.2805893782339286e-38
L1,824.0,4.257947057271939e-39
L1,828.0,3.1488685584138854e-39
L1,832.0,1.04307339258844e-39
L1,836.0,2.3734220364184556e-39
L1,840.0,1.7128588067069876e-39
L1,844.0,3.7062452198157e-39
L1,848.0,3.885983713904599e-39
L1,852.0,4.6310924649010004e-39
L1,856.0,1.924523900333022e-39
L1,860.0,4.0267421763641614e-39
L1,864.0,2.6276445249088274e-39
L1,868.0,4.928213304056799e-39
L1,872.0,9.254499679054951e-39
L1,876.0,3.665819494198436e-39
L1,880.0,2.5671852832594178e-39
L1,884.0,6.858611944986183e-39
L1,888.0,3.224263769278968e-39
L1,892.0,2.52553755058201e-39
L1,896.0,3.102116982654268e-39
L1,900.0,2.8857453117495662e-39
L1,904.0,1.612794030305666e-39
L1,908.0,5.718272114072167e-39
L1,912.0,3.1361879304103285e-39
L1,916.0,1.6822455366414938e-39
L1,920.0,1.7739246505500205e-39
L1,924.0,6.188605744761522e-39
L1,928.0,4.159688758784619e-39
L1,932.0,2.056751579520578e-39
L1,936.0,2.5205526316904218e-39
L1,940.0,8.865491941825357e-39
L1,944.0,1.883228005284943e-39
L1,948.0,1.9317214427417273e-39
L1,952.0,6.009323164835663e-39
L1,956.0,2.2711744379593995e-39
L1,960.0,2.075375943937889e-39
L1,964.0,2.3722567157877447e-39
L1,968.0,1.4929988282857152e-39
L1,972.0,1.2253859888064733e-38
L1,976.0,6.416185114083389e-39
L1,980.0,2.741504468349969e-39
L1,984.0,2.654612979047412e-39
L1,988.0,5.63144498193551e-39
L1,992.0,1.1986602269543543e-39
L1,996.0,1.386162499427106e-39
L1,1000.0,5.078225440188301e-39
