det,offset_s,bandpower
H1,44.0,7.010645037578563e-39
H1,48.0,1.893966124531494e-39
H1,52.0,7.296147876476278e-39
H1,56.0,5.751190142012178e-39
H1,60.0,5.1529425611049944e-39
H1,64.0,4.494738285395181e-39
H1,68.0,5.134842451148491e-39
H1,72.0,2.4615839040812445e-39
H1,76.0,8.023620788868762e-39
H1,80.0,6.315071783997389e-39
H1,84.0,4.5903650730992235e-39
H1,88.0,2.7569244508936867e-39
H1,92.0,9.013545048317693e-39
H1,96.0,4.673559048548642e-39
H1,100.0,3.899504852780089e-39
H1,104.0,7.619599871236176e-39
H1,108.0,4.027333436999383e-39
H1,112.0,3.95293587128405e-39
H1,116.0,2.6664861460327407e-39
H1,120.0,4.090071526343334e-39
H1,124.0,6.256104966204325e-39
H1,128.0,2.358159229288442e-39
H1,132.0,3.4688763577078865e-39
H1,136.0,2.6445344407489187e-39
H1,140.0,6.05566888191797e-39
H1,144.0,2.978565294155817e-39
H1,148.0,3.8374631885161215e-39
H1,152.0,4.889805952541467e-39
H1,156.0,1.6230078441838415e-39
H1,160.0,2.0023079857479806e-39
H1,164.0,3.855289622824781e-39
H1,168.0,5.031359330248959e-39
H1,172.0,8.929374709903736e-39
H1,176.0,3.988246000559981e-39
H1,180.0,1.4125397708547932e-39
H1,184.0,2.9599224974628344e-39
H1,188.0,4.8026015953461984e-39
H1,192.0,6.306515577395341e-39
H1,196.0,3.2875562300141335e-39
H1,200.0,5.1513609669876775e-39
H1,204.0,2.19070080138961e-39
H1,208.0,3.3351141901451836e-39
H1,212.0,6.110106282701588e-39
H1,216.0,5.015247359528625e-39
H1,220.0,5.157526274212521e-39
H1,224.0,6.150447146153814e-39
H1,228.0,1.2292372778040693e-39
H1,232.0,5.103497056666178e-39
H1,236.0,4.646583542946857e-39
H1,240.0,3.517429605613796e-39
H1,244.0,4.763715441083829e-39
H1,248.0,2.3746022705887815e-39
H1,252.0,4.854573849927223e-39
H1,256.0,4.1595961522771355e-39
H1,260.0,7.450163186045271e-39
H1,264.0,3.795464329969007e-39
H1,268.0,8.542216001017304e-39
H1,272.0,1.1024956312661311e-38
H1,276.0,4.866329037466854e-39
H1,280.0,5.4730426752739485e-39
H1,284.0,3.436627447215033e-39
H1,288.0,4.508959358133781e-39
H1,292.0,3.5923140434959636e-39
H1,296.0,3.250750901908381e-39
H1,300.0,3.307150068211589e-39
H1,304.0,3.058814261284584e-39
H1,308.0,2.855318348029843e-39
H1,312.0,1.7981038616729497e-39
H1,316.0,6.409474452511923e-39
H1,320.0,5.1744031075630106e-39
H1,324.0,3.479441957756337e-39
H1,328.0,2.7284110217129864e-39
H1,332.0,6.46619531854613e-39
H1,336.0,4.3510811773692577e-39
H1,340.0,3.4706248756584255e-39
H1,344.0,7.58532645266353e-39
H1,348.0,4.8794338013712866e-39
H1,352.0,1.2956636385669315e-39
H1,356.0,3.561812731888169e-39
H1,360.0,2.1131406776708913e-39
H1,364.0,5.958980388688895e-39
H1,368.0,3.547587925064344e-39
H1,372.0,3.5480641545007855e-39
H1,376.0,6.004658721394438e-39
H1,380.0,7.227597867574316e-39
H1,384.0,4.094953014553906e-39
H1,388.0,3.5085348228016975e-39
H1,392.0,3.0800565139995614e-39
H1,396.0,3.310381519944966e-39
H1,400.0,4.6534990578543296e-39
H1,404.0,1.0446267911018287e-38
H1,408.0,3.9893718119802204e-39
H1,412.0,1.5144465679010544e-39
H1,416.0,5.207472648706441e-39
H1,420.0,7.91304061749669e-39
H1,424.0,5.6986299899380104e-39
H1,428.0,4.119602443384382e-39
H1,432.0,8.835427393307047e-39
H1,436.0,5.1119343371933043e-39
H1,440.0,3.429763374695752e-39
H1,444.0,5.166674037940425e-39
H1,448.0,3.9589783517243096e-39
