filename,full_path,exists,size_bytes,h5py_open,h5py_error,top_level_groups,total_items,qnm_matches,status
GW240925_combinedPHM_envcalC01_metafile.hdf5,E:\clone\ligo-gw240925-gw250207-release\18600070\GW240925_combinedPHM_envcalC01_metafile.hdf5,YES,200078148,YES,,C01:IMRPhenomXPHM-SpinTaylor;C01:IMRPhenomXPNR;C01:Mixed;C01:SEOBNRv5PHM;history;version,1898,"C01:IMRPhenomXPHM-SpinTaylor[group][N/A];C01:IMRPhenomXPHM-SpinTaylor/approximant[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope[group][N/A];C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope/H1[dataset][(300, 7)];C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope/L1[dataset][(300, 7)];C01:IMRPhenomXPHM-SpinTaylor/calibration_envelope/V1[dataset][(300, 7)];C01:IMRPhenomXPHM-SpinTaylor/config_file[group][N/A];C01:IMRPhenomXPHM-SpinTaylor/config_file/config[group][N/A];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/accounting[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/accounting-user[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/calibration-model[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/calibration_correction_type[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/catch-waveform-errors[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/channel-dict[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/conda-env[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/container[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/cosmology[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/data-dict[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/detectors[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/distance-marginalization[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/duration[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/enforce-signal-duration[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/environment-variables[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/final-result[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/generation-pool[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/label[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/maximum-frequency[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/minimum-frequency[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/n-parallel[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/osg[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/outdir[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/overwrite-outdir[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/periodic-restart-time[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-calibration[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-corner[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-data[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/plot-trace[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/pn-amplitude-order[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/pn-phase-order[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/pn-spin-order[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/prior-file[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/psd-dict[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/reference-frame[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/reference-frequency[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/request-cpus[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/request-disk[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/request-memory[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/result-format[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/sampler[dataset][(1,)];C01:IMRPhenomXPHM-SpinTaylor/config_file/config/sampler-kwargs[dataset][(1,)]",SUCCESS
GW250207_combinedPHM_cal_metafile.hdf5,E:\clone\ligo-gw240925-gw250207-release\18600070\GW250207_combinedPHM_cal_metafile.hdf5,YES,306692287,YES,,C00:IMRPhenomXAS;C00:IMRPhenomXPHM-SpinTaylor;C00:IMRPhenomXPNR;C00:Mixed;C00:NRSur7dq4;C00:SEOBNRv5PHM;history;version,3105,"C00:IMRPhenomXAS[group][N/A];C00:IMRPhenomXAS/approximant[dataset][(1,)];C00:IMRPhenomXAS/calibration_envelope[group][N/A];C00:IMRPhenomXAS/calibration_envelope/H1[dataset][(300, 7)];C00:IMRPhenomXAS/calibration_envelope/L1[dataset][(300, 7)];C00:IMRPhenomXAS/calibration_envelope/V1[dataset][(300, 7)];C00:IMRPhenomXAS/config_file[group][N/A];C00:IMRPhenomXAS/config_file/config[group][N/A];C00:IMRPhenomXAS/config_file/config/accounting[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/accounting-user[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/calibration-model[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/calibration_correction_type[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/catch-waveform-errors[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/channel-dict[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/conda-env[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/container[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/cosmology[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/data-dict[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/detectors[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/distance-marginalization[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/duration[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/enforce-signal-duration[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/environment-variables[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/final-result[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/generation-pool[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/label[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/maximum-frequency[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/minimum-frequency[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/n-parallel[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/osg[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/outdir[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/overwrite-outdir[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/periodic-restart-time[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/plot-calibration[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/plot-corner[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/plot-data[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/plot-trace[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/pn-amplitude-order[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/pn-phase-order[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/pn-spin-order[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/prior-file[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/psd-dict[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/reference-frame[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/reference-frequency[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/request-cpus[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/request-disk[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/request-memory[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/result-format[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/sampler[dataset][(1,)];C00:IMRPhenomXAS/config_file/config/sampler-kwargs[dataset][(1,)]",SUCCESS
