tag,shift_ms,xcorr,coh,is_physical
TRIGGER,6.352,-0.9964332,0.498578,True
TRIGGER,6.596,-0.9964152,0.498022,True
TRIGGER,6.84,-0.9964024,0.49757,True
TRIGGER,7.084,-0.9964002,0.497255,True
TRIGGER,7.328,-0.996382,0.497096,True
TRIGGER,7.572,-0.9963784,0.497138,True
TRIGGER,7.816,-0.9963678,0.497356,True
TRIGGER,8.06,-0.9963482,0.497734,True
TRIGGER,8.304,-0.9963403,0.498245,True
TRIGGER,8.548,-0.9963228,0.498827,True
TRIGGER,8.792,-0.996306,0.499431,True
TRIGGER,9.036,-0.9962966,0.500019,True
TRIGGER,9.28,-0.9962805,0.500542,True
TRIGGER,9.524,-0.9962701,0.500983,True
TRIGGER,9.768,-0.9962631,0.501322,True
TRIGGER,10.012,-0.9962421,0.501542,False
TRIGGER,10.256,-0.9962285,0.501644,False
TRIGGER,10.5,-0.9962099,0.501613,False
TRIGGER,10.744,-0.9961807,0.501445,False
TRIGGER,10.988,-0.9961733,0.501169,False
TRIGGER,11.232,-0.9961587,0.500782,False
TRIGGER,11.476,-0.9961423,0.50033,False
TRIGGER,11.72,-0.9961331,0.499854,False
TRIGGER,11.964,-0.9961045,0.49939,False
TRIGGER,12.208,-0.9960843,0.498994,False
TRIGGER,12.452,-0.996067,0.498692,False
TRIGGER,12.696,-0.9960336,0.498491,False
TRIGGER,12.94,-0.9960159,0.498418,False
TRIGGER,13.184,-0.9960037,0.498469,False
TRIGGER,13.428,-0.9959718,0.498625,False
TRIGGER,13.672,-0.9959585,0.498886,False
TRIGGER,13.916,-0.9959326,0.499225,False
TRIGGER,14.16,-0.9958848,0.499593,False
TRIGGER,14.404,-0.9958723,0.499984,False
TRIGGER,14.648,-0.9958361,0.500329,False
TRIGGER,14.892,-0.995803,0.500587,False
TRIGGER,15.136,-0.9957847,0.500728,False
TRIGGER,15.38,-0.9957456,0.500698,False
TRIGGER,15.624,-0.9957265,0.500503,False
TRIGGER,15.868,-0.9956858,0.500095,False
TRIGGER,16.112,-0.9956345,0.499538,False
TRIGGER,16.356,-0.9956068,0.498864,False
TRIGGER,16.6,-0.9955558,0.498119,False
TRIGGER,16.844,-0.9954984,0.497398,False
TRIGGER,17.088,-0.9954729,0.496784,False
TRIGGER,17.332,-0.9954267,0.4963,False
TRIGGER,17.576,-0.9953731,0.495997,False
TRIGGER,17.82,-0.995323,0.495879,False
TRIGGER,18.064,-0.9952422,0.495903,False
TRIGGER,18.308,-0.9951884,0.496072,False
TRIGGER,18.552,-0.9951121,0.496303,False
TRIGGER,18.796,-0.9950351,0.496564,False
TRIGGER,19.04,-0.9949906,0.496835,False
TRIGGER,19.284,-0.9948921,0.497039,False
TRIGGER,19.528,-0.9948198,0.497194,False
TRIGGER,19.772,-0.9947348,0.497251,False
TRIGGER,20.016,-0.9945886,0.497155,False
OFF_m500,-20.0,-0.9997146,0.479069,False
OFF_m500,-19.756,-0.9998063,0.478847,False
OFF_m500,-19.512,-0.9998382,0.481246,False
OFF_m500,-19.268,-0.9998076,0.480984,False
OFF_m500,-19.024,-0.9999054,0.48097,False
OFF_m500,-18.78,-0.9999433,0.485982,False
OFF_m500,-18.536,-0.9999271,0.487457,False
OFF_m500,-18.292,-0.9999963,0.49252,False
OFF_m500,-18.048,-0.9999972,0.498791,False
OFF_m500,-17.804,-1.000008,0.503722,False
OFF_m500,-17.56,-1.0000321,0.511521,False
OFF_m500,-17.316,-1.0000329,0.517337,False
OFF_m500,-17.072,-1.0000663,0.524073,False
