event,ifo,f_measured_median,f_measured_p5,f_measured_p95,m_median,chi_median,f_gr_median,f_gr_p5,f_gr_p95,R_f_median,R_f_p16,R_f_p84,R_f_p5,R_f_p95
GW250207,H1,243.2136745893231,234.8883360944088,250.32812695065948,78.14734989642045,0.8033006567771844,242.8383478516912,235.1866266109609,249.87537207417077,1.0011831627517647,0.9957713288480211,1.0059451597916687,0.9934987771444062,1.008249743385384
GW250207,L1,253.78779463774782,245.25206969976955,262.6441538525131,64.5645562734718,0.6363644126948411,254.63170949799172,246.0638516479206,263.7937329356972,0.9951658224171734,0.9930827097501442,1.0003227722587338,0.9928694875402564,1.0043741398905803
